scorer,,,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350
bodyparts,,,nose,nose,nose,center_of_shoulder,center_of_shoulder,center_of_shoulder,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist,third_metacarpophalangeal_joint,third_metacarpophalangeal_joint,third_metacarpophalangeal_joint,tip_of_third_forelimb_phalanx,tip_of_third_forelimb_phalanx,tip_of_third_forelimb_phalanx,center_of_hip,center_of_hip,center_of_hip,hip,hip,hip,knee,knee,knee,ankle,ankle,ankle,fourth_metatarsophalangeal_joint,fourth_metatarsophalangeal_joint,fourth_metatarsophalangeal_joint,tip_of_fourth_hindlimb_phalanx,tip_of_fourth_hindlimb_phalanx,tip_of_fourth_hindlimb_phalanx
coords,,,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data,GX010389-sin-distor-correcto,img3987.png,1129.85,21.182873,0.025671085,766.31976,445.8484,0.01777172,398.0968,719.3182,0.011771056,763.06415,457.40933,0.028551959,97.06365,1075.0641,0.031885598,9.290432,16.58339,0.008853661,747.82666,472.48047,0.012593272,763.50146,446.5696,0.019702982,1659.0604,276.06516,0.0100550605,1209.3248,1080.9641,0.02495575,1886.772,962.34106,0.024627898,94.3366,1066.8594,0.033125058,197.84048,514.0462,0.027225384
labeled-data,GX010389-sin-distor-correcto,img1233.png,931.818,394.19586,0.249172,619.7418,453.47794,0.7987705,617.7551,468.6111,0.79712045,637.0255,459.53995,1.0,630.6209,487.10843,1.0,624.2456,489.6778,0.33804145,615.4447,493.02185,0.24766171,695.8184,453.4723,1.0,700.80676,463.50696,1.0,732.676,476.89655,0.82343704,771.08594,468.70847,0.9546986,793.53436,475.84647,0.4411003,813.38153,491.15637,0.25225922
labeled-data,GX010389-sin-distor-correcto,img3375.png,967.12054,144.61722,0.03287554,1665.2201,274.36255,0.01849447,767.51404,474.1775,0.021194061,1683.5167,290.23367,0.044353403,769.5948,468.13052,0.018510336,758.0428,468.1736,0.0065361164,763.4534,481.31638,0.008817886,775.49023,450.3299,0.008790245,5.697679,501.84924,0.007330344,772.3897,459.47064,0.020103622,774.69354,459.61877,0.010099381,771.94476,463.94736,0.033386294,772.2946,477.08566,0.038771093
labeled-data,GX010389-sin-distor-correcto,img2707.png,968.1026,149.11508,0.032760844,235.84106,516.1331,0.051604472,234.42397,522.0805,0.033927422,240.31828,525.99963,0.07237967,237.74261,534.3123,0.014269961,237.63304,533.50134,0.00984802,3.9858837,21.807356,0.012342309,225.75172,518.82306,0.01964862,1925.8298,245.29797,0.046544816,239.05727,531.11035,0.041818034,1882.2393,942.74567,0.014362665,796.5784,480.7911,0.02976285,234.58327,543.12836,0.047056455
labeled-data,GX010389-sin-distor-correcto,img4180.png,719.8769,436.59354,0.016549902,761.2609,449.65283,0.030472089,765.2143,443.9827,0.014029025,771.70184,447.85934,0.01561036,1844.195,1061.3375,0.016340097,764.85,461.11002,0.009205229,759.27185,464.69394,0.015390578,757.7381,442.15042,0.01357302,746.3481,445.23026,0.0082871765,768.61554,450.2923,0.0347482,1897.1486,1082.3569,0.01745434,1844.303,1061.1306,0.026348082,766.6163,467.8222,0.033641797
labeled-data,GX010389-sin-distor-correcto,img1890.png,966.564,147.90086,0.027093416,769.6437,471.89328,0.021142617,1648.3186,317.2814,0.0061745583,1653.1508,328.61737,0.031038333,24.777327,366.13223,0.02860396,1648.1534,332.85535,0.0095230155,2.6034832,21.223715,0.009675779,796.8155,466.84985,0.009137753,1647.488,320.76495,0.011599327,795.1737,473.5865,0.031396214,791.28394,471.77625,0.019515442,793.54266,476.24167,0.02245466,236.38594,530.51526,0.040288936
labeled-data,GX010389-sin-distor-correcto,img3261.png,967.2705,145.26457,0.030715277,755.10895,469.24753,0.016456567,1666.5018,299.96426,0.011442615,1889.1014,711.48047,0.01622399,784.14105,477.7211,0.01798842,782.9293,476.84015,0.005547747,1775.7896,277.435,0.0077457386,782.6832,464.183,0.014987412,1605.5437,295.65378,0.007674971,786.6305,470.685,0.04174388,1906.1096,757.6281,0.016896183,782.1552,471.64758,0.025420016,785.40906,482.0338,0.043038066
labeled-data,GX010389-sin-distor-correcto,img4276.png,23.381992,945.46686,0.010674605,757.1323,454.32065,0.012611004,775.84326,453.71017,0.018105362,782.98285,459.72876,0.012309357,776.16425,461.8965,0.016277766,783.4497,464.97952,0.011694149,4.147283,23.403067,0.0097961305,780.43036,448.37967,0.026482893,1306.3983,133.20056,0.009008062,783.58746,460.71927,0.037302352,1270.7661,120.887566,0.021677187,1266.9558,120.252525,0.026554227,783.341,476.39883,0.031092685
