scorer,,,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira,jtqm-xaira
bodyparts,,,nose,nose,center_of_shoulder,center_of_shoulder,shoulder,shoulder,elbow,elbow,wrist,wrist,third_metacarpophalangeal_joint,third_metacarpophalangeal_joint,tip_of_third_forelimb_phalanx,tip_of_third_forelimb_phalanx,center_of_hip,center_of_hip,hip,hip,knee,knee,ankle,ankle,fourth_metatarsophalangeal_joint,fourth_metatarsophalangeal_joint,tip_of_fourth_hindlimb_phalanx,tip_of_fourth_hindlimb_phalanx
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,GX010405-sin-distor-correcto,img0497.png,983.7684031557001,51.02291723535926,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,GX010405-sin-distor-correcto,img0739.png,984.9324374653185,77.76607480880124,986.7155429824954,48.82764929060423,,,,,,,,,,,990.0845485944524,23.6142372176748,996.6085739438411,23.736103829880825,1006.1934685025819,27.427595857602356,997.4370491239699,13.63319545323192,,,,
labeled-data,GX010405-sin-distor-correcto,img1210.png,956.4589233398438,262.51104736328125,963.5154686125455,220.86714362341476,976.1059162427428,224.25622825773894,984.5617203182525,211.1210678040052,,,,,,,968.1537121136894,183.44362334599742,975.1065609114472,181.20657538611007,984.5418571744569,174.08839439971467,,,,,,
labeled-data,GX010405-sin-distor-correcto,img1448.png,960.6339111328125,401.61981201171875,960.3681072431841,358.54616662433784,970.8544021788045,359.560512557858,,,,,,,,,960.6783447265625,298.2911376953125,971.5114135742188,296.7174377441406,990.392144407541,283.8445472565951,,,,,,
labeled-data,GX010405-sin-distor-correcto,img1531.png,,,944.1024803870995,916.5493002969349,,,,,,,,,,,,,,,,,,,,,,
labeled-data,GX010405-sin-distor-correcto,img1855.png,939.1110229492188,990.728759765625,,,,,,,,,,,,,945.4063720703125,853.5008544921875,959.4446411132812,852.2056884765625,984.3759328026765,832.0301767086955,963.7595698487772,802.1295027878259,,,,
labeled-data,GX010405-sin-distor-correcto,img2040.png,947.7970551105903,980.820817078488,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,GX010405-sin-distor-correcto,img2340.png,,,945.734292084932,919.6142048435188,957.3203125000001,922.2086354393954,,,,,,,,,952.4957885742188,848.131591796875,964.9157104492188,847.178466796875,,,,,,,,
labeled-data,GX010405-sin-distor-correcto,img2577.png,946.0040822690343,980.9508208166721,945.0313939502241,918.8250029978735,963.847887719871,919.9653206340722,,,,,,,,,951.4845581054688,843.2069702148438,968.310315995068,843.2411095658057,,,,,,,,
labeled-data,GX010405-sin-distor-correcto,img3174.png,954.1713777911842,990.0528627655439,953.0190192807106,924.3693336689488,967.1297165914358,926.35044267672,,,,,,,,,960.9443020562263,846.3398116413745,976.4212289547893,846.13988451195,994.9149848085713,824.7338459623257,,,,,,
labeled-data,GX010405-sin-distor-correcto,img3404.png,949.6806744098866,1008.169933080456,954.3089000687638,936.9956908003769,,,,,,,,,,,965.8628874115892,863.3907562794702,977.116571400876,863.0687785549186,1000.9974399850338,847.9804837393675,984.4833984375,818.9496459960938,,,,
labeled-data,GX010405-sin-distor-correcto,img3717.png,961.0641923049693,1012.2081445491632,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,GX010405-sin-distor-correcto,img3755.png,963.4324043815461,1012.0287699673926,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,GX010405-sin-distor-correcto,img3836.png,956.2023315429688,1017.0663452148438,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,GX010405-sin-distor-correcto,img3885.png,954.4913330078125,1013.221923828125,,,,,,,,,,,,,963.596435546875,872.3228448874931,979.5813591561626,872.1569067198495,1001.7865105489079,849.5500390663437,,,,,,
labeled-data,GX010405-sin-distor-correcto,img3954.png,949.9505004882812,1013.5971069335938,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,GX010405-sin-distor-correcto,img4001.png,939.4887884997779,1017.9139001328759,940.6818268052664,951.9654387275746,958.2261162853783,953.3853538941771,,,,,,,,,,,,,,,,,,,,
labeled-data,GX010405-sin-distor-correcto,img4095.png,929.4149169921875,1024.279296875,,,,,,,,,,,,,943.6905950647454,879.9270413348148,958.9673363136691,876.6605651352064,981.1608532154282,859.044581242772,964.9123174265144,833.1197942834954,,,,
labeled-data,GX010405-sin-distor-correcto,img4228.png,923.3005043128434,1022.6806962263677,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,GX010405-sin-distor-correcto,img4320.png,931.35595703125,1013.0228881835938,932.077312424082,953.4489753888535,945.0492091413449,954.5366929405295,955.5199345355668,931.0501298253901,,,,,,,942.6573036284647,867.2793986986635,954.5659505884772,867.5362378264921,978.895310271387,846.02294921875,963.4647216796875,822.2686701726543,,,,
